subscription_id,customer_id,plan_id,status,billing_cycle,start_date,end_date,mrr_usd,discount_pct,trial_end_date,cancellation_reason,created_at_x,company_name,industry,company_size,country_code,country_name,timezone,contact_email,contact_name,signup_date,signup_source,is_active_x,churned_at,churn_reason,nps_score,created_at_y,updated_at,plan_name,plan_tier,monthly_price_usd,annual_price_usd,max_users,max_projects,storage_gb,is_active_y,created_at,revenue,is_churned
1,1,1,cancelled,annual,2023-01-31,2023-04-20,0.0,15.0,,Missing features,2026-04-24 22:09:13.186774,Rush Platform,E-commerce,small,FR,France,Europe/Paris,michael.baker@corp.net,Michael Baker,2023-01-31,partner,False,2024-02-26 10:13:36,Outgrew the platform,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,True
2,1,5,cancelled,annual,2023-04-20,2024-02-26,44.25,10.0,,Switched competitor,2026-04-24 22:09:13.186774,Rush Platform,E-commerce,small,FR,France,Europe/Paris,michael.baker@corp.net,Michael Baker,2023-01-31,partner,False,2024-02-26 10:13:36,Outgrew the platform,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,True
3,2,1,paused,monthly,2023-06-09,,0.0,0.0,,,2026-04-24 22:09:13.186774,TrekStack,Manufacturing,small,CA,Canada,America/Toronto,emily.moore+work@startup.co,Emily Moore,2023-06-09,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
4,3,1,active,annual,2023-10-28,,0.0,20.0,,,2026-04-24 22:09:13.186774,Wave Group,Education,enterprise,US,United States,America/New_York,olga.robinson@wavegroup.com,Olga Robinson,2023-10-28,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
5,4,1,expired,annual,2024-04-09,2024-08-10,0.0,15.0,,Budget cuts,2026-04-24 22:09:13.186774,KeenSoftware,Technology,large,GB,United Kingdom,Europe/London,lars.jackson@outlook.com,Lars Jackson,2024-04-09,partner,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
6,4,6,active,annual,2024-08-10,,82.5,0.0,,,2026-04-24 22:09:13.186774,KeenSoftware,Technology,large,GB,United Kingdom,Europe/London,lars.jackson@outlook.com,Lars Jackson,2024-04-09,partner,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
7,5,1,cancelled,monthly,2023-10-04,2024-10-01,0.0,10.0,,Missing features,2026-04-24 22:09:13.186774,QuestAnalytics,Logistics,large,US,United States,America/Chicago,joshua.green@yahoo.com,Joshua Green,2023-10-04,partner,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
8,5,3,active,annual,2024-10-01,,15.83,0.0,,,2026-04-24 22:09:13.186774,QuestAnalytics,Logistics,large,US,United States,America/Chicago,joshua.green@yahoo.com,Joshua Green,2023-10-04,partner,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
9,6,1,paused,monthly,2025-08-23,,0.0,0.0,,,2026-04-24 22:09:13.186774,RiftWorks,Insurance,small,GB,United Kingdom,Europe/London,sofia.williams@outlook.com,Sofia Williams,2025-08-23,partner,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
10,7,1,active,annual,2024-08-21,,0.0,0.0,,,2026-04-24 22:09:13.186774,PeakIO,Telecommunications,large,CA,Canada,America/Toronto,elizabeth.taylor@tech.dev,Elizabeth Taylor,2024-08-21,paid_ads,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
11,8,1,active,monthly,2024-04-24,,0.0,0.0,,,2026-04-24 22:09:13.186774,Data Systems,Finance,large,US,United States,America/Los_Angeles,mei.baker@startup.co,Mei Baker,2024-04-24,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
12,9,1,active,annual,2025-06-15,,0.0,0.0,,,2026-04-24 22:09:13.186774,Iris Hub,Education,enterprise,SG,Singapore,Asia/Singapore,lisa.davis@gmail.com,Lisa Davis,2025-06-15,paid_ads,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
13,10,5,active,monthly,2025-03-08,,59.0,0.0,2025-03-22,,2026-04-24 22:09:13.186774,GlowSystems,Education,enterprise,SG,Singapore,Asia/Singapore,steven.hill@yahoo.com,Steven Hill,2025-03-08,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
14,11,2,active,annual,2024-06-29,,7.5,25.0,2024-07-13,,2026-04-24 22:09:13.186774,Xenon Cloud,E-commerce,small,GB,United Kingdom,Europe/London,andrew.garcia@outlook.com,Andrew Garcia,2024-06-29,paid_ads,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
15,12,6,active,monthly,2024-10-27,,99.0,0.0,2024-11-10,,2026-04-24 22:09:13.186774,QuarkDev,Manufacturing,small,JP,Japan,Asia/Tokyo,priya.patel@startup.co,Priya Patel,2024-10-27,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
16,13,1,cancelled,monthly,2025-07-16,2025-09-16,0.0,0.0,,Switched competitor,2026-04-24 22:09:13.186774,Vertex Labs,Real Estate,medium,GB,United Kingdom,Europe/London,Emily.Anderson@gmail.com,Emily Anderson,2025-07-16,referral,False,2025-09-16 01:57:15,Switched to competitor,1.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,True
17,14,1,cancelled,annual,2024-02-25,2025-01-03,0.0,0.0,,Too expensive,2026-04-24 22:09:13.186774,Keen Ventures,Consulting,small,CA,Canada,America/Toronto,hassan.clark@startup.co,Hassan Clark,2024-02-25,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
18,14,5,cancelled,monthly,2025-01-03,2025-05-17,59.0,0.0,,Missing features,2026-04-24 22:09:13.186774,Keen Ventures,Consulting,small,CA,Canada,America/Toronto,hassan.clark@startup.co,Hassan Clark,2024-02-25,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
19,14,6,active,annual,2025-05-17,,74.25,10.0,,,2026-04-24 22:09:13.186774,Keen Ventures,Consulting,small,CA,Canada,America/Toronto,hassan.clark@startup.co,Hassan Clark,2024-02-25,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
20,15,2,active,monthly,2024-04-18,,12.0,0.0,2024-05-02,,2026-04-24 22:09:13.186774,DataLogic,Insurance,enterprise,US,United States,America/Chicago,jessica.gonzalez@startup.co,Jessica Gonzalez,2024-04-18,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
21,16,2,active,annual,2023-06-18,,10.0,0.0,2023-07-02,,2026-04-24 22:09:13.186774,Iris Labs,Healthcare,enterprise,GB,United Kingdom,Europe/London,william.clark@startup.co,William Clark,2023-06-18,event,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
22,17,2,cancelled,monthly,2024-08-16,2024-12-16,10.2,15.0,2024-08-30,Missing features,2026-04-24 22:09:13.186774,DriftCloud,Legal,enterprise,JP,Japan,Asia/Tokyo,wei.rivera@hotmail.com,Wei Rivera,2024-08-16,organic,True,,,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
23,17,5,cancelled,annual,2024-12-16,2025-04-02,49.17,0.0,,Not using it,2026-04-24 22:09:13.186774,DriftCloud,Legal,enterprise,JP,Japan,Asia/Tokyo,wei.rivera@hotmail.com,Wei Rivera,2024-08-16,organic,True,,,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
24,17,2,active,monthly,2025-04-02,,9.6,20.0,,,2026-04-24 22:09:13.186774,DriftCloud,Legal,enterprise,JP,Japan,Asia/Tokyo,wei.rivera@hotmail.com,Wei Rivera,2024-08-16,organic,True,,,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
25,18,4,active,monthly,2025-06-01,,39.0,0.0,2025-06-15,,2026-04-24 22:09:13.186774,LinkIO,Retail,medium,US,United States,America/Los_Angeles,patricia.allen@linkio.com,Patricia Allen,2025-06-01,partner,True,,,10.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
26,19,3,expired,annual,2024-02-10,2025-01-26,15.83,0.0,2024-02-24,Missing features,2026-04-24 22:09:13.186774,Flow Corp,Logistics,medium,BR,Brazil,America/Sao_Paulo,dorothy.lee@company.io,Dorothy Lee,2024-02-10,referral,False,2025-07-25 09:00:24,Poor support experience,8.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,True
27,19,4,cancelled,annual,2025-01-26,2025-07-25,32.5,0.0,,,2026-04-24 22:09:13.186774,Flow Corp,Logistics,medium,BR,Brazil,America/Sao_Paulo,dorothy.lee@company.io,Dorothy Lee,2024-02-10,referral,False,2025-07-25 09:00:24,Poor support experience,8.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,True
28,20,6,active,annual,2025-06-19,,82.5,0.0,2025-07-03,,2026-04-24 22:09:13.186774,AcmeHQ,Real Estate,small,US,United States,America/Chicago,paul.wilson@company.io,Paul Wilson,2025-06-19,event,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
29,21,4,active,monthly,2023-04-20,,39.0,0.0,2023-05-04,,2026-04-24 22:09:13.186774,NexusStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,karen.nelson@nexusstack.com,Karen Nelson,2023-04-20,partner,True,,,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
30,22,5,active,annual,2023-12-08,,49.17,0.0,2023-12-22,,2026-04-24 22:09:13.186774,Onyx Analytics,Media,medium,DE,Germany,Europe/Berlin,ana.brown@onyxanalytics.com,Ana Brown,2023-12-08,event,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
31,23,6,cancelled,annual,2025-05-04,2025-09-11,82.5,0.0,2025-05-18,Not using it,2026-04-24 22:09:13.186774,KitePro,Legal,medium,JP,Japan,Asia/Tokyo,james.davis@yahoo.com,James Davis,2025-05-04,organic,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
32,23,1,cancelled,monthly,2025-09-11,2025-11-10,0.0,0.0,,Not using it,2026-04-24 22:09:13.186774,KitePro,Legal,medium,JP,Japan,Asia/Tokyo,james.davis@yahoo.com,James Davis,2025-05-04,organic,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
33,23,3,active,annual,2025-11-10,,15.83,0.0,,,2026-04-24 22:09:13.186774,KitePro,Legal,medium,JP,Japan,Asia/Tokyo,james.davis@yahoo.com,James Davis,2025-05-04,organic,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
34,24,3,active,annual,2025-06-24,,15.83,0.0,2025-07-08,,2026-04-24 22:09:13.186774,TidalStudio,Insurance,enterprise,US,United States,America/New_York,daniel.wilson@company.io,Daniel Wilson,2025-06-24,paid_ads,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
35,25,1,active,monthly,2025-06-03,,0.0,25.0,,,2026-04-24 22:09:13.186774,PulseSolutions,Insurance,small,AU,Australia,Australia/Sydney,mary.lopez@startup.co,Mary Lopez,2025-06-03,referral,True,,,4.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
36,26,4,cancelled,monthly,2023-07-17,2023-12-01,33.15,15.0,2023-07-31,Too expensive,2026-04-24 22:09:13.186774,YieldAI,E-commerce,small,CA,Canada,America/Toronto,daniel.martin@yieldai.com,Daniel Martin,2023-07-17,event,True,,,2.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
37,26,6,active,monthly,2023-12-01,,99.0,0.0,,,2026-04-24 22:09:13.186774,YieldAI,E-commerce,small,CA,Canada,America/Toronto,daniel.martin@yieldai.com,Daniel Martin,2023-07-17,event,True,,,2.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
38,27,1,cancelled,monthly,2023-09-29,2024-04-14,0.0,0.0,,Switched competitor,2026-04-24 22:09:13.186774,WaveStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,lisa.johnson@yahoo.com,Lisa Johnson,2023-09-29,organic,False,2025-02-03 08:53:39,Budget cuts,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,True
